TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET,MES_ID,VENTA_TOTAL,escuelas,supermercados,restaurantes,comida_rapida,Meta_venta
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202406,78331.04,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202402,984454.29,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202307,1096866.62,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202310,775114.25,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202304,1095804.32,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202306,1150093.19,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202308,749857.65,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202401,1029869.3,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202404,1069456.9,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202301,921629.65,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202403,1180529.27,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202302,906961.43,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202312,1175991.88,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202411,1134785.1,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202303,1060836.04,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202305,1109795.96,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202412,555932.89,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202407,979241.65,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202309,732932.45,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202311,962152.39,0,1,0,1,490000
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,202405,106176.42,0,1,0,1,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202412,352343.14,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202406,1065933.68,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202308,933392.82,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202310,890935.01,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202401,876297.32,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202301,682280.75,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202302,613716.99,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202306,1028034.64,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202405,1142876.26,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202307,949354.86,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202311,813300.72,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202407,1025070.63,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202305,805632.39,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202411,904828.05,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202303,747727.74,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202402,836183.61,0,0,0,0,490000
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,202403,978234.33,0,0,0,0,490000
